USSR	8649	275	Asia
Canada	3852	25	North
China	3705	1032	Asia
USA	3615	237	North
Brazil	3286	134	South
India	1267	746	Asia
Mexico	762	78	North
France	211	55	Europe
Japan	144	120	Asia
Germany	96	61	Europe
England	94	56	Europe
